message_type, arerror_code, message_summary, message_description
Error,373,Must be administrator to acces,Must be administrator to access the distributed mapping.
Error,374,Distributed mapping does not e,Distributed mapping does not exist on server.
Error,375,Duplicate distributed mapping ,Duplicate distributed mapping name.
Error,376,Cannot update this entry  --  ,Cannot update this entry  --  this distributed entry is not the master copy.
Error,377,The distributed or application,The distributed or application operation specified in the filter Run Process action contains mismatched quotes.
Error,378,Must be Distributed Server to ,Must be Distributed Server to perform this operation.
Error,379,Problem encountered during cre,Problem encountered during creation of one of the distributed forms.
Error,382,The value(s) for this entry vi,The value(s) for this entry violate a unique index that has been defined for this form.
Error,383,File menu contains too many it,File menu contains too many items on one level (maximum 1000).
Error,384,The name specified contains an,The name specified contains an invalid character. Only printable characters are allowed.
Error,385, The same ID was specified sev, The same ID was specified several times in a 'multiple' operation API call  --  each ID specified for this call must be unique.
Error,386,Exception occurred while handl,Exception occurred while handling previous exception.
Error,387,Updating this entry will viola,Updating this entry will violate join condition.
Error,388,VUI does not exist for the spe,VUI does not exist for the specified form.
Error,389,Duplicate VUI for the form.,Duplicate VUI for the form.
Error,390,Cannot delete the default VUI ,Cannot delete the default VUI for a form  --  all forms require at least one VUI.
Error,391,Creation of VUI failed.,Creation of VUI failed.
Error,392,Field/VUI name must be unique ,Field/VUI name must be unique for the form  --  there is already a field or VUI using this name.
Error,393,Status-History field cannot be,Status-History field cannot be used as labelField or valueField in the query menu.
Error,394,AR System is currently in Admi,AR System is currently in Administrator Only mode. Please retry your operation later.
Error,395,The system has timed out while,The system has timed out while waiting for a process to return a value.
Error,396,Support file for the specified,Support file for the specified object cannot be found.
Error,397,Reserved field GroupList excee,Reserved field GroupList exceeds the 4000 character limit.
Error,398,Unable to obtain the memory fo,Unable to obtain the memory for cache.
Error,399,Error in definition for an act,Error in definition for an active link.
Error,400,The file specified for a form ,The file specified for a form does not hold a form definition.
Error,401,Form definition in the source ,Form definition in the source file is invalid.
Error,402,Incorrect format in the defini,Incorrect format in the definition file.
Error,403,The form definition file field,The form definition file field count does not match number of fields in the file.
Error,404,Field ID is in the core field ,Field ID is in the core field range but is not a defined core field.
Error,405,A core definition from the def,A core definition from the definition file is incorrect.
Error,406,One of the core fields is miss,One of the core fields is missing from the form file definition.
Error,407,Duplicate field/VUI ID in the ,Duplicate field/VUI ID in the form definition.
Error,408,Selection data type requires a,Selection data type requires a selection specification.
Error,409,No definition is in the file.,No definition is in the file.
Error,410,The filter definition cannot b,The filter definition cannot be found in the specified file.
Error,411,The command definition cannot ,The command definition cannot be found in the specified file.
Error,412,The import file is in an incor,The import file is in an incorrect format.
Error,413,The Active link definition can,The Active link definition cannot be found in the specified file.
Error,414,The character menu definition ,The character menu definition cannot be found in the specified file.
Error,415,The escalation definition cann,The escalation definition cannot be found in the specified file.
Error,416,The distributed mapping defini,The distributed mapping definition cannot be found in the specified file.
Error,417,The group name is not a define,The group name is not a defined group.
Error,418,Incomplete join form definitio,Incomplete join form definition.
Error,419,Incomplete view form definitio,Incomplete view form definition.
Error,420,Invalid field type.,Invalid field type.
Error,421,Incomplete field mapping defin,Incomplete field mapping definition.
Error,422,Unrecognized escalation action,Unrecognized escalation action type.
Error,423,The container definition canno,The container definition cannot be found in the specified file.
Error,424,Push fields actions that affec,Push fields actions that affect entries in other forms can only affect forms on the same server in a filter/escalation.
Error,429,The VUI definition can not be ,The VUI definition can not be found in the specified file.
Error,430,Field ID exceeds the maximum a,Field ID exceeds the maximum allowed value.
Error,431,Field of this type cannot be i,Field of this type cannot be included in a multi-column index.
Error,432,Currency field has too many fu,Currency field has too many functional currencies to allow indexing.
Error,433,Not a lock block definition.,Not a lock block definition.
Error,434,An invalid or a corrupt lock b,An invalid or a corrupt lock block definition was skipped.
Error,435,Administrative operations must,Administrative operations must be enabled before you can modify this server setting.
Error,436,Invalid format for server info,Invalid format for server information setting.
Error,437,The form data definition canno,The form data definition cannot be found in the specified file.
Error,438,Cache reload failure.,Cache reload failure.
Error,439,Error changing field column le,Error changing field column length; make sure no existing data in the field exceeds the requested length before retrying.
Error,441,"Invalid array index, out of ra","Invalid array index, out of range."
Error,442,The required API input argumen,The required API input argument is empty.
Error,444,Could not resolve the JNI clas,Could not resolve the JNI class.
Error,445,Could not resolve the JNI meth,Could not resolve the JNI method.
Error,446,Changing the field option of t,Changing the field option of the field is not allowed.
Error,447,Server information associated ,Server information associated with this tag has an invalid value.
Error,448,File size limit exceeded.,File size limit exceeded.
Error,460,Audit Configuration informatio,Audit Configuration information cannot be found in the ar.conf/ar.cfg file.
Error,461,The AR Server version does not,The AR Server version does not match the Lite license AR Server version included with the licensed application.
Error,462,The form is not a member of a ,The form is not a member of a Lite licensed application.
Error,463,Cannot create a form in a Lite,Cannot create a form in a Lite licensed AR Server.
Error,464,Cannot change the form name in,Cannot change the form name in a Lite licensed AR Server.
Error,465,Cannot change the form mapping,Cannot change the form mapping criteria in a Lite licensed AR Server.
Error,466,Invalid or pre 6.0 AR Server l,Invalid or pre 6.0 AR Server license file.
Error,467,AR Server license import optio,AR Server license import option can only be 0 or 1.
Error,468,Error reading license cache ta,Error reading license cache table.
Error,470,User Cache utilities are disab,User Cache utilities are disabled.
Error,475,Too few arguments specified fo,Too few arguments specified for upgrade program.
Error,476,Too many arguments specified f,Too many arguments specified for upgrade program.
Error,477,Oracle 8.0 is no longer suppor,Oracle 8.0 is no longer supported by upgrade.
Error,478,This 6.3 Unicode database is n,This 6.3 Unicode database is not yet ready for upgrade. Please contact Customer Service for details on how to prepare your database before attempting an upgrade to a 7.0 Unicode database.
Error,480,Status History field is not su,Status History field is not supported on View forms.
Error,481,Requested database table not f,Requested database table not found. Please check the spelling (table name is case-sensitive).
Error,482,This View Form contains empty ,"This View Form contains empty Request IDs. Make sure that the key field is set to a non-null, unique column to avoid data corruption."
Error,485,The reservedIdOKList parameter,The reservedIdOKList parameter in the ARCreateMultipleFields() API function is blank. This parameter must be either ''Yes'' or ''No'' or ''1'' or ''0''.
Error,486, The list parameter does not h, The list parameter does not have the same item count as in the Field ID list.
Error,487,Set field status list cannot b,Set field status list cannot be empty.
Error,488,Field creation error occurred ,Field creation error occurred at the indicated list position.
Error,489,At least one set field failed ,At least one set field failed in a multi-field operation.
Error,490,Invalid preference server opti,"Invalid preference server option, out of range."
Error,504,Missing or invalid form defini,Missing or invalid form definition file.
Error,524,This operation encountered an ,This operation encountered an error and the transaction has been rolled back.
Error,550,Unable to connect to the SQL d,Unable to connect to the SQL database. Please ensure the SQL database is running or contact the Database Administrator for help.
Error,551,Unable to connect to the SQL d,Unable to connect to the SQL database.
Error,552,The SQL database operation fai,The SQL database operation failed.
Error,553,Operation requested is too lar,Operation requested is too large for a single SQL command.
Error,554,The Control record for the dat,The Control record for the data dictionary in the database is missing.
Error,555,One or more selection values a,One or more selection values are missing from the data dictionary in the database.
Error,556,Missing data in the SQL databa,Missing data in the SQL database.
Error,557,More data was found in the dat,More data was found in the database than was expected.
Error,558,Form or field definition is mi,Form or field definition is missing.
Error,559,Character string exceeds maxim,Character string exceeds maximum size allowed.
Error,560,Multiple actions have the same,Multiple actions have the same internal index (likely data corruption).
Error,561,The underlying database does n,The underlying database does not support qualifications on fields with a length over 4000 bytes for Oracle or 255 bytes for all other databases.
Error,562,Help text or change diary defi,Help text or change diary definition is missing.
Error,563,% cannot be used to search for,% cannot be used to search for entries in SQL database.
Error,564,Field references on the right ,Field references on the right side of the LIKE operation is not supported by SQL database.
Error,565,The requested value is beyond ,The requested value is beyond the number of values returned.
Error,566,Requested record is locked by ,Requested record is locked by another user. Please retry.
Error,567,Failed to connect to database ,Failed to connect to database after multiple attempts.
Error,569,The number of database records,The number of database records affected by a SQL statement was not available from the database.
Error,570,Incorrect format in the SQL co,Incorrect format in the SQL command.
Error,600,Error while opening/reading fr,Error while opening/reading from AR System directory file.
Error,601,Unrecognized command line opti,Unrecognized command line option.
Error,602,Cannot specify both -G and -U ,Cannot specify both -G and -U and cannot specify either more than once.
Error,603,Must specify one or both of th,Must specify one or both of the options -u and/or -g.
Error,604,Must specify the operation to ,Must specify the operation to be performed (-G or -U).
Error,605,One or more of the command lin,One or more of the command line options is not appropriate for operation.
Error,607,An option required for the ope,An option required for the operation is missing.
Error,608,A required value for the comma,A required value for the command line option is missing.
Error,609,Invalid tag for Group or User ,Invalid tag for Group or User operation.
Error,610,Error while accessing server c,Error while accessing server cache file (server.ar).
Error,611,Dynamic group cannot be in a c,Dynamic group cannot be in a computed group definition.
Error,612,No such user is registered wit,No such user is registered with this server.
Error,613,Group type can only be 1 (view,Group type can only be 1 (view) or 2 (change).
Error,614,License type can only be 0 (no,"License type can only be 0 (none), 1 (fixed), or 2 (floating)."
Error,615,No such user exists.,No such user exists.
Error,616,The specified Group ID is inva,The specified Group ID is invalid for this group type.
Error,617,Computed group includes circul,Computed group includes circular reference.
Error,618,The syntax of the computed gro,The syntax of the computed group qualification is incorrect.
Error,619,Computed group list contains i,Computed group list contains invalid information.
Error,620,Two forms contain the same ope,Two forms contain the same open license tag  --  ignored for both forms.
Error,621,Problem processing the license,Problem processing the license tag file -- license tag file ignored.
Error,622,Problem while preparing open w,Problem while preparing open write licensing -- open write licensing may be incomplete.
Error,623,Authentication failed.,Authentication failed.
Error,624,User account locked out due to,User account locked out due to too many bad password attempts.
Error,635,The reserved holiday fields ex,The reserved holiday fields exist on multiple forms. They are only allowed to exist on one form.
Error,636,No Holiday form could be found,No Holiday form could be found on the server.
Error,637,No holiday definition exists w,No holiday definition exists with the specified tag.
Error,638,Two forms contain all the rese,Two forms contain all the reserved workday fields  --  delete one to continue.
Error,639,No Workday form could be found,No Workday form could be found on the server.
Error,640,No workday definition exists w,No workday definition exists with the specified tag.
Error,641,Open hours must be included in,Open hours must be included in the workday schedule definition.
Error,642,The reserved Time Segment fiel,The reserved Time Segment fields exist on multiple forms. They are only allowed to exist on one form.
Error,643,No Time Segment form could be ,No Time Segment form could be found on the server.
Error,644,The specified Time Segment doe,The specified Time Segment does not exist in the Business Time Segment form.
Error,645,The level specified has to be ,The level specified has to be from 1 to 1000.
Error,646,The reserved Segment-Entity As,The reserved Segment-Entity Association fields exist on multiple forms. They are only allowed on one form.
Error,647,No Business Time Segment-Entit,No Business Time Segment-Entity Association form could be found on the server.
Error,648,Level 1 Time Segments must be ,Level 1 Time Segments must be 'Available' and Level 2 must be 'Unavailable.'
Error,649,Recurrence Start Time must be ,Recurrence Start Time must be less than Recurrence End Time.
Error,651,ARFullTextInfoList structure i,ARFullTextInfoList structure is empty.
Error,652,The Full text information data,The Full text information data for this tag has an incompatible data type or the value is out of range.
Error,653,Full text information data for,Full text information data for this tag is invalid.
Error,654,Unrecognized full text informa,Unrecognized full text information tag.
Error,655,ARFullTextInfoRequestList list,ARFullTextInfoRequestList list is empty.
Error,656,Unable to connect to the full ,Unable to connect to the full text database.
Error,657,Unable to complete the full te,Unable to complete the full text search operation.
Error,658,Failed to read full text docum,Failed to read full text documents.
Error,659,An error has occurred while op,An error has occurred while opening the ''Ignore Word'' file.
Error,660,An error occurred while updati,An error occurred while updating the ''Ignore Word'' file.
Error,661,Unable to change the full text,Unable to change the full text index directory.
Error,662,Operation requested is too lar,Operation requested is too large for a single full text search command.
Error,663,Full text search cannot be don,"Full text search cannot be done on a field that is not a character, diary, or attachment field."
Error,665,This server does not have a Fu,This server does not have a Full Text Search license.
Error,666,Full text operations are disab,Full text operations are disabled  --  turn on full text operations and retry your operation.
Error,667,Full text operations are enabl,Full text operations are enabled  --  turn off full text operations and retry your operation.
Error,668,Invalid full text search query,Invalid full text search query.
Error,669,The Destination full text inde,The Destination full text index directory already exists.
Error,671,The indexer for running the Fu,The indexer for running the Full Text Search indexing cannot be found.
Error,672,Status History field cannot be,Status History field cannot be indexed for Full Text Search.
Error,674,The search query matched too m,The search query matched too many words in the FTS dictionary.
Error,675,FTS home directory can only be,"FTS home directory can only be set by the installer, and not by using arsetfulltextinfo API call."
Error,677,License type can only be 0 (no,"License type can only be 0 (none), 1 (fixed), 2 (floating), or 3 (restricted read)."
Error,678,Full text indexing is disabled,Full text indexing is disabled  --  turn on full text indexing and retry your operation.
Error,679,Form based search is not allow,Form based search is not allowed without a full text license or while full text searching is disabled.
Error,680,Full Text Search User Licenses,Full Text Search User Licenses are available but the Full Text Search engine is not installed or installed incorrectly.
Error,681,Due to the field length change,"Due to the field length change, the corresponding full text index is being rebuilt."
