"signature_id","ips_name","ips_cat_id","ips_cat_name"
9002,"Linux x86 Bind Shell Shellcode Exploit (UDP)",7,EXPLOIT
6125,"HP Data Protector Cell Manager Integer Overflow",14,MISC
7516,"HTTP Client Shellcode Exploit 35b",7,EXPLOIT
4795,"SolarWinds Pepco32c ActiveX PEstrarg1 Method Invocation",61,ACTIVEX
2779,"PHP memory_limit Remote Code Execution",45,"WEB-PHP"
9067,"BSD x86 Shell Shellcode Exploit 3 (TCP)",7,EXPLOIT
1440,"Symantec Alert Management System Buffer Overflow 3",14,MISC
9767,"Suspicious HTML Iframe Tag 3",40,"WEB-CLIENT"
4043,"CA ARCserve Backup Message Engine Buffer Overflow 3",28,RPC
8854,"IBM Lotus Domino names.nsf Access",38,"WEB-ATTACKS"
4503,"MSWebDVD ActiveX AcceptParentalLevelChange Method Invocation",61,ACTIVEX
3462,"Windows IE Memory Corruption Vulnerability (MS14-012) 6",40,"WEB-CLIENT"
9032,"BSD x86 FindSock Shell Shellcode Exploit (UDP)",7,EXPLOIT
2542,"GNU Mailutils imap4d Format String Attack 1",12,IMAP
1525,"Server Application Shellcode Exploit 21",7,EXPLOIT
5971,"HTTP Client Shellcode Exploit 38",7,EXPLOIT
9444,"DNS Tunneling Traffic 1",5,DNS
5016,"Suspicious SMTP email Attachment 2",31,SMTP
8476,"SIP Stress Test Traffic 4a (Non-token Characters)",37,"VoIP-ATTACKS"
2998,"Deprecated ActiveX Instantiation 004 (MS05-038)",61,ACTIVEX
8004,"Phase Zero Trojan Activity",2,BACKDOOR
5643,"Oracle Java JNDI Sandbox Bypass",84,JAVA
6701,"Microsoft Host Integration Server DoS 1 (MS11-082)",6,DOS
8080,"CA ARCserve Backup Tape Engine Remote Code Execution 2",28,RPC
4758,"Suspicious HTTPS Request 3",38,"WEB-ATTACKS"
8666,"Apache httpd .www_acl Access",38,"WEB-ATTACKS"
9788,"Honeywell EBI TEMA ActiveX DownloadFromURL Method Invocation",61,ACTIVEX
117,"QQDownload Informational 3",13,INFO
8888,"IBM Lotus Domino statrep.nsf Access",38,"WEB-ATTACKS"
6772,"Cross-Site Scripting (XSS) Attack 10",64,XSS
3898,"Microsoft DirectAnimation.PathControl ActiveX Heap Buffer Overflow 2 (MS06-067)",61,ACTIVEX
5039,"WonderWare SuiteLink slssvc.exe DoS",6,DOS
9744,"libevent DNS Response DoS 5",5,DNS
3151,"SQL Injection Attack 19",49,"SQL-INJECTION"
4753,"Node.js JS-YAML Remote Code Execution",62,"BAD-FILES"
9100,"HTTP Request Body with SQL Statement (OR-1)",13,INFO
5443,"Linux Kernel nfsd CAP_MKNOD Security Bypass 3",28,RPC
6400,"Zend Server Java Bridge CreateObject Request",84,JAVA
4259,"IBM Director Agent DoS 3",6,DOS
4718,"HP LoadRunner Buffer Overflow 1",14,MISC
4375,"Symantec Veritas NetBackup bpcd Buffer Overflow",14,MISC
3642,"Skype Informational",13,INFO
1113,"TFTP Server Directory Traversal Attack 2",9,FTP
1175,"Oracle WebCenter Content ActiveX openWebdav Method Invocation",61,ACTIVEX
8552,"Cridex C&C Traffic 1",36,VIRUS
4112,"HP Intelligent Management Center Information Disclosure 1",38,"WEB-ATTACKS"
5172,"Obfuscated HTML Code 113a",40,"WEB-CLIENT"
1239,"Oracle Java Web Start ActiveX dnsResolve Method Invocation",61,ACTIVEX
7571,"DataLife Engine 9.7 Remote Code Execution",38,"WEB-ATTACKS"
4726,"Red Hat JBoss JMX Console Authentication Bypass 1",84,JAVA
5040,"Alt-N SecurityGateway username Buffer Overflow",38,"WEB-ATTACKS"
9946,"Windows IE Use-After-Free Vulnerability (MS13-047) 10",40,"WEB-CLIENT"
8240,"UDP Application Shellcode Exploit 3",7,EXPLOIT
3038,"wab32res.dll Insecure Library Loading 2",14,MISC
1406,"boot.ini Access 1",38,"WEB-ATTACKS"
9623,"OpenVPN Informational 1",13,INFO
8479,"Apache Struts OGNL Wildcard Remote Code Execution 2",38,"WEB-ATTACKS"
7232,"Windows IE Time Element Remote Code Execution (MS11-090)",40,"WEB-CLIENT"
4438,"IBM Lotus Domino nlsccstr.dll DoS",6,DOS
7310,"HP Easy Printer Care ActiveX Instantiation 1",61,ACTIVEX
9453,"Suspicious Request URI 11",38,"WEB-ATTACKS"
8924,"Oracle 9iAS Information Disclosure 3",38,"WEB-ATTACKS"
5729,"HTTP Error Informational 2",13,INFO
10194,"IBM Cognos TM1 Buffer Overflow 2",14,MISC
5223,"Windows Schannel Security Package Remote Code Execution (MS07-031)",40,"WEB-CLIENT"
8238,"CHETCPASSWD Information Disclosure",38,"WEB-ATTACKS"
3276,"Novell Netware XNFS.NLM xdrDecodeString Buffer Overflow 1",28,RPC
3248,"HTTP Client Shellcode Exploit 61",7,EXPLOIT
4607,"IMAP Informational 2a",13,INFO
4426,"Novell Netware XNFS.NLM xdrDecodeString Buffer Overflow 3",28,RPC
1163,"EMC NetWorker nsrexecd.exe Buffer Overflow",28,RPC
9303,"Server Application Directory Traversal Attack 4",14,MISC
5329,"iSCSI target Format String Attack",14,MISC
5251,"Downloader Win32 Tibs Trojan Activity",2,BACKDOOR
10189,"HylaFAX+ Buffer Overflow",14,MISC
8490,"SIP Stress Test Traffic 5d (Extra Spaces)",37,"VoIP-ATTACKS"
8066,"Cisco SNMP Trap Service DoS 3",6,DOS
3322,"Slowloris Traffic 2",38,"WEB-ATTACKS"
4441,"Oracle DB SDO_CODE_SIZE Buffer Overflow",67,"DB-ATTACKS"
4531,"Microsoft Active Directory Remote Code Execution 1 (MS07-039)",63,LDAP
4669,"HTTP Client Shellcode Exploit 26",7,EXPLOIT
5407,"Oracle JRE JAR Handling Buffer Overflow",84,JAVA
5953,"EMC CMCNE Directory Traversal 3",38,"WEB-ATTACKS"
5363,"PHP CGI Argument Injection 4",45,"WEB-PHP"
4213,"DROP TABLE Statement 4 (Possible SQL Injection)",49,"SQL-INJECTION"
8863,"IBM Lotus Domino main.nsf Access",38,"WEB-ATTACKS"
4193,"Oracle Reports Directory Traversal 1",38,"WEB-ATTACKS"
4074,"UPDATE SET Statement 2 (Possible SQL Injection)",49,"SQL-INJECTION"
5334,"CUPS HPGL Filter Remote Code Execution 2",14,MISC
6393,"RealNetworks RealPlayer ActiveX CDDA URI Code Execution 2",61,ACTIVEX
4191,"RIM BlackBerry Enterprise Server Router Component DoS",6,DOS
5109,"Oracle DB DBMS_AQELM.SET_SENDFROM Buffer Overflow",67,"DB-ATTACKS"
9550,"Suspicious Video 6",85,"MEDIA-PLAYERS"
1174,"Suspicious FTP APPE Command",9,FTP
5711,"Client Application Format String Attack 1",14,MISC
4278,"MailEnable SMTP NTLM Authentication Buffer Overflow",31,SMTP
8535,"Server Application Shellcode Exploit 39",7,EXPLOIT
4332,"Microsoft IIS WebDAV Source Code Disclosure",38,"WEB-ATTACKS"
4639,"Proxy-Pro Professional GateKeeper Buffer Overflow",38,"WEB-ATTACKS"
9857,"WinFTP FTP Server DoS",9,FTP
9219,"TFTP Informational",13,INFO
3641,"Opera Browser file URI Heap Buffer Overflow",40,"WEB-CLIENT"
7258,"Windows IE Use-After-Free Vulnerability (MS13-069) 1",40,"WEB-CLIENT"
5259,"Malformed Excel Document C",62,"BAD-FILES"
4939,"Server Application Shellcode Exploit 24",7,EXPLOIT
6648,"Novell ZENworks Asset Management Arbitrary File Overwrite",38,"WEB-ATTACKS"
4176,"Symantec Veritas NetBackup vmd Buffer Overflow 2",14,MISC
4480,"Corel PDF Fusion Insecure Library Loading",14,MISC
6899,"Winhlp32.exe Buffer Overflow",40,"WEB-CLIENT"
9150,"NetBSD x86 Shell Shellcode Exploit 1 (UDP)",7,EXPLOIT
8299,"CVS Entry Line Heap Buffer Overflow 3",14,MISC
5444,"Fujitsu SystemcastWizard PXE Buffer Overflow",14,MISC
3745,"Clickjacking Attack 1",40,"WEB-CLIENT"
3187,"Suspicious ActiveX Method Invocation 2",61,ACTIVEX
3045,"Linux Web Shop header.inc.php Remote File Inclusion",45,"WEB-PHP"
4737,"TWiki rev Parameter Shell Command Injection 2",38,"WEB-ATTACKS"
3413,"Symantec Endpoint Protection Manager Information Disclosure",38,"WEB-ATTACKS"
7175,"HP Data Protector Media Operations Directory Traversal",14,MISC
9999,"Malformed PDF File 31",62,"BAD-FILES"
7344,"Tor Informational 1",13,INFO
8258,"HTTP Request URI with SQL Statement (SELECT WHERE)",13,INFO
6353,"FTP Server Shellcode Exploit 7",7,EXPLOIT
1172,"Lianja SQL Server Buffer Overflow",67,"DB-ATTACKS"
7730,"Quest InTrust ActiveX Add Method Invocation 1",61,ACTIVEX
3167,"Windows IE URL Validation Remote Command Execution 1 (MS10-007)",40,"WEB-CLIENT"
6317,"Corel PaintShop Pro Insecure Library Loading",14,MISC
5568,"Windows SRVSVC NetPathCanonicalize Buffer Overflow 6 (MS08-067)",19,NETBIOS
4641,"Novell Netware Client Spooler Service Buffer Overflow 4",19,NETBIOS
6301,"phf Remote Command Execution",38,"WEB-ATTACKS"
4058,"VML File HTTP Download 4a",13,INFO
4532,"Microsoft Active Directory Remote Code Execution 2 (MS07-039)",63,LDAP
5414,"MongoDB RefDB Remote Code Execution",67,"DB-ATTACKS"
9971,"Windows IE Use-After-Free Vulnerability (MS13-055) 8",40,"WEB-CLIENT"
9035,"BSD SPARC Reverse Connect Shell Shellcode Exploit (TCP)",7,EXPLOIT
9621,"Microsoft NFS Server DoS 1 (MS13-014)",28,RPC
8478,"SIP Stress Test Traffic 4b (Non-token Characters)",37,"VoIP-ATTACKS"
444,"ISAKMP Login Failed",13,INFO
6652,"Cross-Site Scripting (XSS) Attack 16",64,XSS
9311,"Microsoft FrontPage users.pwd Access",38,"WEB-ATTACKS"
8697,"SAP NetWeaver Remote Command Execution 2",14,MISC
1849,"Cross-Site Scripting (XSS) Attack 20",64,XSS
6559,"Suspicious HTTP Accept-Encoding Header 2",38,"WEB-ATTACKS"
5310,"ASUS Remote Console Buffer Overflow 1",14,MISC
8643,"Deprecated ActiveX Instantiation 093",61,ACTIVEX
1284,"PHP File HTTP Upload 1",13,INFO
1498,"ISC DHCP Server Packet Handling DoS",6,DOS
7367,"Novell Netware XNFS.NLM xdrDecodeString Buffer Overflow 2",28,RPC
7313,"Windows IE Use-After-Free Vulnerability (MS13-069) 7",40,"WEB-CLIENT"
4671,"HTTP Client Shellcode Exploit 27a",7,EXPLOIT
5548,"HTTP Client Shellcode Exploit 18",7,EXPLOIT
7530,"HTTP Server Shellcode Exploit 27",7,EXPLOIT
4698,"Obfuscated ActiveX Instantiation 2a",61,ACTIVEX
6370,"Novell GroupWise Internet Agent HTTP Interface Stack Buffer Overflow 1",38,"WEB-ATTACKS"
9131,"Linux SPARC Reverse Connect Shell Shellcode Exploit 2 (UDP)",7,EXPLOIT
10172,"Server Application Shellcode Exploit 42",7,EXPLOIT
2280,"SQL Injection Attack 4",49,"SQL-INJECTION"
2731,"Suspicious Kerberos Ticket 3",14,MISC
4646,"Microsoft Office Snapshot Viewer ActiveX Arbitrary File Overwrite 1",61,ACTIVEX
4296,"Microsoft IIS ASP Page Buffer Overflow (MS06-034)",38,"WEB-ATTACKS"
4222,"PineApp Mail-Secure test_li_connection.php Command Injection 1",45,"WEB-PHP"
1438,"Oracle DB DBMS_AQADM SQL Injection",49,"SQL-INJECTION"
7238,"Coppermine picEditor.php Remote Code Execution 2",45,"WEB-PHP"
5028,"ClamAV Milter Blackhole-Mode Remote Code Execution 2",31,SMTP
1714,"Ultrasurf Informational 6",13,INFO
5424,"Malformed ZIP File 10",62,"BAD-FILES"
7480,"Deprecated ActiveX Instantiation 033 (MS09-032)",61,ACTIVEX
1049,"HTTP Server Remote Code Execution 5",38,"WEB-ATTACKS"
5006,"Windows PnP Service wsprintfW Buffer Overflow 4 (MS05-039)",19,NETBIOS
7642,"Windows IE DOM Object Use-After-Free (MS13-038) 1",40,"WEB-CLIENT"
2531,"Microsoft Office OCX ActiveX OpenWebFile Method Invocation 1",61,ACTIVEX
6519,"AOL Desktop RTX Handling Buffer Overflow",62,"BAD-FILES"
9703,"Suspicious HTTP Location Header 4",40,"WEB-CLIENT"
9114,"IRIX MIPS Shell Shellcode Exploit (TCP)",7,EXPLOIT
7700,"vBulletin Authentication Bypass",45,"WEB-PHP"
9940,"Windows IE Use-After-Free Vulnerability (MS13-047) 6",40,"WEB-CLIENT"
2536,"Suspicious HTTP Content-Length Header 2s",38,"WEB-ATTACKS"
1405,"Suspicious POP Traffic 2",24,POP
9297,"GnuTLS gnutls_cipher.c DoS 4",38,"WEB-ATTACKS"
6664,"DCERPC Informational 2b",13,INFO
9989,"Trimble SketchUp BMP Buffer Overflow",85,"MEDIA-PLAYERS"
8037,"D-Link DAP-1160 Remote Command Execution 1",14,MISC
3135,"Squid Invalid HTTP Response Status Code DoS",6,DOS
3540,"SAP GUI SAPBExCommonResources ActiveX Execute Method Invocation",61,ACTIVEX
8620,"Deprecated ActiveX Instantiation 073",61,ACTIVEX
4162,"Microsoft ISA Server DNS Spoofing (MS04-039)",5,DNS
7634,"Windows IE Uninitialized Memory Corruption Vulnerability (MS11-003)",40,"WEB-CLIENT"
8213,"Microsoft IIS idq Information Disclosure",38,"WEB-ATTACKS"
8371,"Microsoft w3svc.dll ISAPI Filter DoS",38,"WEB-ATTACKS"
9121,"Linux SPARC Bind Shell Shellcode Exploit 2 (UDP)",7,EXPLOIT
4688,"Suspicious HTTP Host Header 6",38,"WEB-ATTACKS"
5880,"Samba SID Parsing Buffer Overflow",19,NETBIOS
7689,"Windows SRVSVC NetPathCanonicalize Buffer Overflow 11 (MS08-067)",19,NETBIOS
7658,"Obfuscated ActiveX Instantiation 4b",61,ACTIVEX
8429,"Asterisk T.38 SDP Buffer Overflow 4",37,"VoIP-ATTACKS"
2010,"CA ARCserve Backup Media Server Buffer Overflow 1",28,RPC
4803,"HP LeftHand Virtual SAN Buffer Overflow",14,MISC
8019,"CUPS HTTP Request DoS",6,DOS
3475,"VanDyke SecureCRT SSH1 Buffer Overflow",14,MISC
6163,"SIP Stress Test Traffic 1a",37,"VoIP-ATTACKS"
8249,"Gallery Photo Album Package Remote File Inclusion",45,"WEB-PHP"
5855,"Malformed PDF File 2b",62,"BAD-FILES"
5708,"Windows IE Memory Corruption Vulnerability (MS14-010) 18",40,"WEB-CLIENT"
375,"Allaple ICMP Sweep Ping Outbound",10,ICMP
1870,"SQL Slammer Activity",36,VIRUS
4052,"SpamAssassin Malformed Message DoS",6,DOS
9608,"Windows IE CMarkup Use-After-Free (MS13-009)",40,"WEB-CLIENT"
7593,"Novell Groupwise WebAccess Directory Traversal 2",38,"WEB-ATTACKS"
7685,"IBM Tivoli Isig.isigCtl.1 ActiveX RunAndUploadFile Method Invocation 1",61,ACTIVEX
4591,"MailEnable IMAPD LOGIN Command Buffer Overflow",12,IMAP
8051,"CA ARCserve Backup SQL Server Backup Agent Buffer Overflow 2",28,RPC
9640,"Foxjmp Trojan Activity 4",2,BACKDOOR
4182,"SpamAssassin Malformed Email Header DoS",6,DOS
8646,"Deprecated ActiveX Instantiation 096",61,ACTIVEX
9679,"PolarPearCms Remote Code Execution",45,"WEB-PHP"
3185,"HTTP Server Remote Code Execution 14",38,"WEB-ATTACKS"
4194,"Oracle Forms Remote Command Execution",38,"WEB-ATTACKS"
5390,"HTTP Server Shellcode Exploit 23",7,EXPLOIT
9590,"Adobe Flash Player Regular Expression Buffer Overflow",85,"MEDIA-PLAYERS"
9827,"HTTP Server Remote Code Execution 30",38,"WEB-ATTACKS"
5503,"Cisco WAP4410N Remote Command Execution 2",14,MISC
8214,"Microsoft Index Server ISAPI Extension Buffer Overflow 2 (MS01-033)",38,"WEB-ATTACKS"
8858,"IBM Lotus Domino ntsync4.nsf Access",38,"WEB-ATTACKS"
8224,"rlogin guest Login",13,INFO
3208,"HTTP Server Remote Code Execution 15",38,"WEB-ATTACKS"
4011,"Cisco Secure ACS EAP-TLS Authentication Bypass",14,MISC
5761,"Suspicious LDAP Traffic 1",63,LDAP
9441,"Windows IE Memory Corruption Vulnerability (MS13-080) 2",40,"WEB-CLIENT"
8770,"IBM Lotus Domino cldbdir.nsf Access",38,"WEB-ATTACKS"
3445,"Windows IE Memory Corruption Vulnerability (MS14-012) 2",40,"WEB-CLIENT"
4599,"Suspicious IMAP LOGIN Command 1",12,IMAP
10158,"Traffic Distribution System (TDS) 1",38,"WEB-ATTACKS"
8264,"Microsoft DCOM Interface DoS 1 (MS03-039)",19,NETBIOS
5439,"IBM Lotus Notes WPD Handling Buffer Overflow 2",31,SMTP
7220,"Mozilla Firefox serializeToStream Use-After-Free",40,"WEB-CLIENT"
4633,"Private Wire Gateway Buffer Overflow",38,"WEB-ATTACKS"
1496,"bidlab.dll Insecure Library Loading",14,MISC
4778,"Siemens Solid Edge ActiveX DeleteItem Method Invocation",61,ACTIVEX
8698,"HP SiteScope Security Bypass 1",38,"WEB-ATTACKS"
8909,"Microsoft IIS ASP.NET Remote Tracing",38,"WEB-ATTACKS"
3223,"HP Data Protector Remote Code Execution 5",14,MISC
4412,"CA Console Server Buffer Overflow",14,MISC
8781,"IBM Lotus Domino decsdoc.nsf Access",38,"WEB-ATTACKS"
5025,"Raxnet Cacti graph_view.php Remote Command Execution",45,"WEB-PHP"
8328,"HTTP Request URI with SQL Statement (BENCHMARK)",13,INFO
9770,"Synergy Clipboard Integer Overflow",14,MISC
6171,"SIP Stress Test Traffic 5a (Extra Spaces)",37,"VoIP-ATTACKS"
4336,"HP OpenView NNM Toolbar.exe Buffer Overflow 1",38,"WEB-ATTACKS"
7099,"NJStar Communicator MiniSMTP Server Buffer Overflow 1",31,SMTP
7422,"Microsoft ASP.NET HashTable DoS 3 (MS11-100)",38,"WEB-ATTACKS"
8677,"HP SiteScope Information Disclosure 1",38,"WEB-ATTACKS"
2738,"Windows IE Drag and Drop Remote Code Execution (MS05-014)",40,"WEB-CLIENT"
8777,"IBM Lotus Domino db.nsf Access",38,"WEB-ATTACKS"
5793,"Windows IE Memory Corruption Vulnerability (MS14-010) 10",40,"WEB-CLIENT"
5345,"Cisco Prime Data Center Network Manager Information Disclosure",38,"WEB-ATTACKS"
6700,"Tom Sawyer GET Extension Factory ActiveX Instantiation 2",61,ACTIVEX
9153,"NetBSD x86 Shell Shellcode Exploit 3 (TCP)",7,EXPLOIT
2127,"Symantec Veritas NetBackup Remote Command Execution 2",14,MISC
7553,"Windows IE Use-After-Free Vulnerability (MS13-080) 7",40,"WEB-CLIENT"
2734,"MIT Kerberos kadmind RPC Remote Code Execution 1",28,RPC
4638,"Oracle DB AUTH_SESSKEY Buffer Overflow 1",67,"DB-ATTACKS"
679,"Blackboard Informational 1",13,INFO
4372,"Symantec Enterprise Firewall DNS Proxy Cache Poisoning 1",5,DNS
6369,"Digium Asterisk SIP Channel Driver DoS",37,"VoIP-ATTACKS"
6290,"CA XMLSecDB ActiveX Arbitrary File Overwrite",61,ACTIVEX
8974,"AIX /bin/sh Shellcode Exploit (TCP)",7,EXPLOIT
5267,"Microsoft Message Queuing Service Heap Buffer Overflow (MS08-065)",28,RPC
9401,"Suspicious Certificate 4",87,"COMPROMISED-CERTS"
294,"Address Mask Reply",10,ICMP
8188,"Microsoft ASP.NET NULL Byte Information Disclosure",38,"WEB-ATTACKS"
1473,"Cross-Site Scripting (XSS) Attack 30",64,XSS
7582,"xChat Heap Buffer Overflow 2",14,MISC
3162,"SQL Injection Attack 20",49,"SQL-INJECTION"
9658,"HTML HTTP Informational",13,INFO
2811,"AIM goaway URI Handler Buffer Overflow",40,"WEB-CLIENT"
4314,"SAP NetWeaver DiagTraceStreamI Buffer Overflow",14,MISC
3774,"HTTP Server Remote Code Execution 20",38,"WEB-ATTACKS"
5044,"Windows DirectShow SAMI Handling Buffer Overflow",62,"BAD-FILES"
6640,"RealArcade InstallerDlg ActiveX ShellExec Method Invocation",61,ACTIVEX
4174,"Suspicious HTTPS Request 4",38,"WEB-ATTACKS"
553,"Suspicious POP APOP Command",24,POP
9559,"Adobe Indesign Server Script Execution 2",38,"WEB-ATTACKS"
9115,"IRIX MIPS Shell Shellcode Exploit (UDP)",7,EXPLOIT
2229,"Suspicious Kerberos Ticket 2",14,MISC
4931,"NIS ypbind Buffer Overflow",28,RPC
7296,"Malformed M3U File 1",85,"MEDIA-PLAYERS"
4007,"CVS Revision String Buffer Overflow",14,MISC
7038,"PLS HTTP Informational 1",13,INFO
5031,"7T Interactive Graphical SCADA File Buffer Overflow",83,"SCADA-ATTACKS"
9740,"libevent DNS Response DoS 1",5,DNS
6139,"CakePHP Cache Corruption",45,"WEB-PHP"
8886,"IBM Lotus Domino srvnam.htm Access",38,"WEB-ATTACKS"
8848,"IBM Lotus Domino mail9.box Access",38,"WEB-ATTACKS"
4072,"HP OpenView NNM ovdbrun.exe DoS",38,"WEB-ATTACKS"
9447,"TurboFTP Server PORT Command Buffer Overflow",9,FTP
9400,"Suspicious Certificate 3",87,"COMPROMISED-CERTS"
9780,"MySQL Suspicious File Upload",67,"DB-ATTACKS"
4421,"Adobe ColdFusion SOAP DoS 1",38,"WEB-ATTACKS"
4642,"Suspicious CIFS Traffic 4",19,NETBIOS
3400,"HTTP Server Remote Code Execution 39",38,"WEB-ATTACKS"
7669,"FreePBX callme_page Remote Code Execution",45,"WEB-PHP"
9070,"BSD x86 Setuid Shell Shellcode Exploit (UDP)",7,EXPLOIT
9345,"Windows Filename Parsing Memory Corruption 1",19,NETBIOS
10196,"Zavio IP Camera RTSP Authentication Bypass",14,MISC
9151,"NetBSD x86 Shell Shellcode Exploit 2 (TCP)",7,EXPLOIT
2063,"Apache httpd mod_proxy_ajp DoS 1",38,"WEB-ATTACKS"
5447,"Moodle texed.php Remote Command Execution",45,"WEB-PHP"
9158,"OpenBSD x86 Bind Shell Shellcode Exploit (UDP)",7,EXPLOIT
3272,"VML File HTTP Download 3b",13,INFO
9606,"Windows IE setCapture Use-After-Free (MS13-009)",40,"WEB-CLIENT"
8793,"IBM Lotus Domino lccon.nsf Access",38,"WEB-ATTACKS"
8887,"IBM Lotus Domino statmail.nsf Access",38,"WEB-ATTACKS"
